comments
"3,""The inner workings of the trump thing's head is a total mess."
"These are angry people, especially trump, who works full time for putin."
They wont even recognize their bad acts and crimes.
"11,It's time to put old yeller down"
"15,Orange is the new black"
"25,""""""Inner Workings a Total Mess"""" , """"Screaming and Shouting at people, horribly threatening them to come up with the answers they want"""" ... Is Trump just projecting what is happening around him onto Mueller??"""
"28,Love u Trump from India.. haters r jealous of u 😂😂😁😁no hard feelings"
"30,""Why is it so hard to investigate crimes committed by Trump supporters?"
"32,""Even if I disregard witches... McCarthysm, duh"""
"34,""Normally people that are guilty, always screams that they are innocent, when they're guilty as hell."
'We are losing': Trump and his top advisors aren't publicly admitting how bad things are in Afghanistan.
"37,""A innocent person wouldnt be this crazy to try to protect themselves....if ur not guilty, ur doing probably the worst job in history of trying to act no guilty"""
"38,Who's prepared for black friday?"
"43,Do we get a Orange Saturday after Black Friday?"
"52,Burn him as a evil witch lmao 🤣 🤘"
"55,orange man bad."
"60,""If Obama didn't go to Arlington on Veteran's Day, fake Fox News would still be talking about it."""
"64,""Who other than a completely out of the loop and clueless individual could possibly be confused that failing to attend a veteran's memorial when you hold the title of Commander in Chief could be anything other than a public relations nightmare."
"There is no third option, and that is SAD."""
"65,Maybe Donnie Johnny has no true friends because he is not a true friend."
He actually needed someone to tell him that it was a very bad idea to skip that ceremony after he flew all the way to France to attend it?
"If Trump is so stupid that he can't figure a thing like that out by himself, WTF is he doing in the oval office?"""
"69,""He's becoming psychotic."
"72,There is absolutely no way Trump will be re-elected in 2020 get used to it Retardican voters."
"His kids are worthless and likely to do to him what he did his daddy, take advantage of him in his old age and snap everything up before the Old Man loses it all."
"75,""Reap what you sow, miserable clown."""
Poor baby!
"FYI to our people in the military and our vets, remember how your president disrespected your service to the country this Veterans Day!"
"These people are weak, bizarre and totally inexperienced."
"That's the same mood I had when Trump won in 2016, I was in a sour mood for like, probably until Inauguration Day."
"I didn't scream at people or something, I never wanted to talk to folks very often, but I was in a sour mood when Trump won, it took me two months to get over it, I'm no Trump fan obviously, but I kinda feel his pain there, I've been there, post-election day in 2016 was one of the worst times of my life."
"79,Very sour kid indeed."
"80,""Ah poor baby!"
"84,Do you remember when Obama turned the WH into a pathetic soap opera?."
"85,""Trump can't even live up to the standards of past REPUBLICAN presidents!"
"89,""Trump doesn't want military ballots counted in Florida and Georgia."
"If I dodged the draft 5 times, vilified the father of a soldier who died fighting for this country, turned by back on homeless vets, cut veterans benefits, avoided visiting troops in war zones to play golf, not visit Arlington to pay respects to soldiers who died for this country and sent the military to an imaginary war, I wouldn't want to count military absentee ballots either."""
"92,He doesn't listen to his counsel so why get mad that they don't approach him."
"95,""FAKE PATRIOT!"
SAD!
"Of course, this is not news to anyone who has half a brain."""
"98,He is a big baby & has always been in sour mood."
He just doesn't care about anyone & is not fit for office.
I'm sorry but that's the truth...Phoenix
